"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Brad Keller","PHI","RP","67.5","62","4","2","4.02","1.33","30","63","27","8","63","0","4","0"
"Aaron Civale","","SP,RP","123.7","107","7","0","4.55","1.30","63","121","39","19","24","23","8","0"
"Johan Oviedo","BOS","SP","102.8","99","5","0","4.24","1.33","48","93","44","13","38","15","5","0"
"Jose Quintana","","SP","130.7","94","8","0","4.63","1.42","67","135","51","18","24","24","9","0"
"Kyle Leahy","STL","RP","117.9","97","5","0","4.32","1.36","57","118","42","14","43","16","6","0"
"Jake Irvin","WSH","SP","151.2","111","7","0","4.83","1.36","81","156","50","24","33","26","10","0"
"Andrew Kittredge","BAL","RP","67.2","67","4","5","3.69","1.19","28","62","18","9","66","0","3","0"
"Griffin Canning","","SP","129.7","113","8","0","4.55","1.37","66","128","49","19","25","24","8","0"
"Louis Varland","TOR","RP","67.8","67","4","2","3.66","1.21","28","63","19","8","63","0","3","0"
"Brad Lord","WSH","SP,RP","137.9","106","7","0","4.41","1.35","68","139","48","17","36","24","8","0"
"Martin Perez","","SP","115.1","87","6","0","4.64","1.42","59","120","43","16","21","21","7","0"
"Marcus Stroman","","SP","122.8","87","7","0","4.75","1.45","65","129","48","15","23","23","8","0"
"A.J. Minter","NYM","RP","55.9","63","4","2","3.41","1.17","21","46","19","6","53","0","3","0"
"Tyler Rogers","TOR","RP","72.4","50","4","2","3.67","1.22","29","72","16","7","73","0","3","0"
"Kutter Crawford","BOS","SP","79.1","75","4","0","4.22","1.21","37","73","23","12","44","6","4","0"
"Randy Vasquez","SD","SP","137.7","92","7","0","4.90","1.41","75","145","50","20","27","27","9","0"
"Gregory Soto","PIT","RP","62.0","66","3","3","3.83","1.30","26","56","25","5","64","0","3","0"
"Cristian Mena","ARI","SP,RP","33.5","31","2","0","4.11","1.34","15","32","13","4","19","3","2","0"
"Corbin Burnes","ARI","SP","43.6","41","3","0","3.70","1.20","18","39","14","5","7","7","2","0"
"Anthony Kay","CWS","SP,RP","134.2","109","6","0","4.57","1.40","68","134","54","19","24","24","9","1"
"Thomas White","MIA","SP","55.2","58","3","0","4.19","1.40","26","50","27","7","10","10","3","0"
"Joe Jimenez","ATL","RP","43.5","50","2","0","3.79","1.20","18","37","15","5","43","0","2","0"
"Eric Lauer","TOR","SP,RP","58.4","55","3","0","4.25","1.26","28","55","19","9","40","3","3","0"
"Alexis Diaz","TEX","RP","57.5","57","3","2","4.65","1.37","30","49","30","8","55","0","3","0"
"Jason Alexander","HOU","SP,RP","54.2","42","2","0","4.61","1.38","28","56","19","7","27","6","3","0"
"Cade Povich","BAL","SP","47.1","45","2","0","4.22","1.30","22","45","17","6","17","7","2","0"
"German Marquez","","SP","126.8","93","7","0","5.17","1.45","73","139","44","21","24","24","9","0"
"Mitch Farris","LAA","SP","27.6","25","1","0","4.91","1.43","15","27","12","4","6","5","2","0"
"Cole Sands","MIN","SP,RP","68.6","67","4","3","3.97","1.23","30","64","21","8","66","0","4","0"
"Tomoyuki Sugano","","SP","139.4","92","8","0","4.81","1.35","75","155","34","24","26","26","10","1"
"Tyler Anderson","","SP","138.6","107","7","0","4.95","1.42","76","141","56","23","25","25","9","0"
"Christian Scott","NYM","SP","39.7","38","2","0","4.00","1.21","18","37","11","6","25","3","2","0"
"Jon Gray","","RP","79.9","69","5","0","4.58","1.32","41","79","26","12","15","15","5","0"
"Robert Gasser","MIL","SP","87.5","82","5","0","4.01","1.24","39","81","28","11","36","12","5","0"
"Grant Holmes","ATL","SP","90.0","90","5","0","4.22","1.33","42","85","34","12","29","13","4","0"
"Brandon Sproat","MIL","SP","77.5","66","4","0","4.22","1.33","36","73","30","9","26","12","4","0"
"Elmer Rodriguez-Cruz","NYY","SP","8.9","8","0","0","4.18","1.40","4","9","3","1","7","0","0","0"
"Kevin Ginkel","ARI","RP","62.5","64","3","5","3.90","1.30","27","57","24","6","60","0","3","0"
"Quinn Mathews","STL","SP","45.5","42","2","0","4.56","1.53","23","42","27","5","9","9","3","0"
"Rhett Lowder","CIN","SP","73.6","58","3","0","4.49","1.34","37","75","24","10","26","11","4","0"
"Aaron Ashby","MIL","RP","66.6","69","3","0","3.70","1.36","27","59","32","5","57","0","3","0"
"Gabe Speier","SEA","RP","58.6","69","3","0","3.31","1.11","22","48","17","7","62","0","3","0"
"Felix Bautista","BAL","RP","12.2","16","1","0","3.22","1.17","4","9","6","1","12","0","1","0"
"Cole Winn","TEX","RP","63.4","54","3","4","4.30","1.37","30","58","29","8","57","0","3","0"
"Lucas Erceg","KC","RP","63.6","60","4","3","3.71","1.28","26","58","24","6","61","0","4","0"
"Trevor McDonald","SF","SP,RP","61.1","48","3","0","4.37","1.37","30","62","22","7","20","9","4","0"
"J.T. Ginn","ATH","SP,RP","89.4","83","4","0","4.30","1.33","43","87","32","12","27","15","5","0"
"Ryan Bergert","KC","SP","65.6","55","3","0","4.64","1.40","34","64","27","9","26","9","3","0"
"Hunter Harvey","CHC","RP","51.1","55","3","4","3.41","1.14","19","44","15","5","50","0","2","0"
"Josiah Gray","WSH","SP","112.1","96","5","0","4.93","1.40","61","110","47","18","21","21","8","0"
"Justin Sterner","ATH","RP","66.8","68","3","7","4.25","1.27","32","60","24","10","63","0","3","0"
"Sawyer Gipson-Long","DET","SP,RP","50.6","46","2","0","4.11","1.23","23","48","14","7","32","4","3","0"
"Seth Halvorsen","COL","RP","60.5","55","3","6","4.65","1.47","31","61","28","8","58","0","4","0"
"Justin Wrobleski","LAD","RP","54.4","50","3","0","4.20","1.30","25","52","19","7","34","3","2","0"
"Connor Phillips","CIN","RP","54.0","57","3","1","4.57","1.40","27","48","28","8","50","0","3","0"
"Bryan Baker","TB","RP","65.2","73","3","2","3.94","1.22","29","56","24","9","64","0","3","0"
"Richard Fitts","STL","SP","102.8","79","5","0","4.49","1.33","51","104","33","15","32","17","6","0"
"Carmen Mlodzinski","PIT","SP,RP","71.5","63","4","0","3.88","1.31","31","69","25","7","30","10","4","0"
"Foster Griffin","WSH","RP","136.0","127","7","0","4.16","1.27","63","131","43","17","32","23","8","0"
"Janson Junk","MIA","SP,RP","94.8","68","5","0","4.38","1.28","46","100","22","12","36","12","5","0"
"Noah Schultz","CWS","SP","16.7","14","1","0","4.62","1.45","9","17","8","2","3","3","1","0"
"Bryce Elder","ATL","SP","73.9","61","4","0","4.55","1.37","37","76","25","9","19","12","4","0"
"Kai-Wei Teng","SF","SP,RP","35.1","35","2","0","4.38","1.37","17","33","16","4","16","4","2","0"
"Hayden Birdsong","SF","SP,RP","57.2","57","3","0","4.58","1.41","29","52","28","8","22","8","3","0"
"Kyle Harrison","BOS","SP,RP","48.7","49","2","0","4.19","1.33","23","46","19","6","34","2","2","0"
"Mason Montgomery","PIT","RP","61.6","66","3","1","4.10","1.34","28","57","26","7","59","0","3","0"
"Hogan Harris","ATH","RP","67.2","65","3","9","4.37","1.40","33","62","32","8","58","0","3","0"
"Steven Matz","TB","RP","125.0","105","6","0","4.17","1.28","58","126","34","17","34","21","7","0"
"Justin Topa","MIN","RP","63.9","53","3","8","4.05","1.33","29","65","20","6","63","0","3","0"
"Mark Leiter Jr.","ATH","RP","64.6","69","4","6","4.18","1.33","30","61","25","8","65","0","4","0"
"Tobias Myers","NYM","SP,RP","56.9","48","3","0","4.22","1.28","27","56","17","8","36","4","3","0"
"AJ Blubaugh","HOU","SP,RP","46.7","43","2","0","4.44","1.35","23","43","20","7","34","2","3","0"
"Chase Dollander","COL","SP","124.6","107","6","0","5.26","1.50","73","130","57","19","24","24","10","0"
"Tanner McDougal","CWS","SP","21.6","18","1","0","4.89","1.50","12","22","11","3","9","3","1","0"
"Michael Kopech","","RP","42.4","46","2","0","4.49","1.41","21","35","25","6","42","0","2","0"
"Ryan Weiss","HOU","SP","80.7","79","4","0","4.37","1.33","39","75","32","11","34","10","5","0"
"Tyler Kinley","ATL","RP","63.7","69","3","0","4.11","1.29","29","55","27","8","65","0","3","0"
"Stephen Kolek","KC","SP","80.7","57","4","0","4.28","1.36","38","84","25","8","36","9","4","1"
"Sean Newcomb","CWS","SP,RP","95.4","87","4","0","4.14","1.37","44","91","39","11","43","11","5","0"
"Gage Jump","ATH","SP","23.1","20","1","0","4.54","1.34","12","23","8","3","4","4","2","0"
"River Ryan","LAD","SP","38.0","32","2","0","4.61","1.39","19","38","15","5","12","6","2","0"
"Alek Manoah","LAA","SP","95.6","81","5","0","4.90","1.41","52","94","41","15","18","18","7","0"
"Cody Bradford","TEX","SP","47.1","41","3","0","4.16","1.19","22","45","11","7","21","6","3","0"
"JR Ritchie","ATL","SP","18.2","15","1","0","4.51","1.36","9","18","7","2","3","3","1","0"
"Fernando Cruz","NYY","RP","60.9","82","4","1","3.70","1.23","25","47","28","7","60","0","3","0"
"Cole Henry","WSH","RP","64.1","60","2","11","4.75","1.44","34","59","34","9","67","0","3","0"
"Jason Adam","SD","RP","50.3","54","3","0","3.46","1.17","19","41","18","5","50","0","2","0"
"Didier Fuentes","ATL","SP","9.1","9","0","0","4.41","1.32","4","9","3","1","7","1","1","0"
"Hunter Barco","PIT","SP,RP","93.8","85","4","0","4.15","1.35","43","88","39","11","32","14","5","0"
"Jose Alvarado","PHI","RP","60.1","68","4","3","3.52","1.24","24","51","24","6","58","0","3","0"
"David Festa","MIN","SP","48.0","50","3","0","4.06","1.26","22","44","16","6","28","4","3","0"
"Brody Hopkins","TB","SP","7.8","7","0","0","4.91","1.48","4","8","4","1","2","2","1","0"
"Coleman Crow","MIL","SP","28.1","28","1","0","3.85","1.23","12","26","9","3","20","2","1","0"
"Luis Perales","WSH","SP,RP","35.5","34","2","0","4.43","1.41","17","33","17","4","22","3","2","0"
"Carson Whisenhunt","SF","SP","28.7","23","1","0","4.45","1.37","14","29","10","4","13","4","2","0"
"Trey Gibson","BAL","SP","8.4","8","0","0","4.45","1.35","4","8","3","1","2","2","1","0"
"Hunter Gaddis","CLE","RP","68.0","65","3","3","3.84","1.21","29","61","21","9","65","0","3","0"
"Drey Jameson","ARI","RP","50.8","46","3","1","4.21","1.37","24","49","20","6","48","0","3","0"
"Orion Kerkering","PHI","RP","63.8","69","4","1","3.45","1.21","24","55","22","6","63","0","3","0"
"Juan Mejia","COL","RP","65.6","68","3","2","4.54","1.42","33","62","30","8","65","0","4","0"
"Ricky Tiedemann","TOR","SP","31.8","33","2","0","4.38","1.38","15","29","15","4","14","5","2","0"
"Ben Casparius","LAD","SP,RP","53.9","51","3","0","4.45","1.33","27","51","21","8","47","0","3","0"
"Caden Dana","LAA","SP","90.4","79","5","0","5.06","1.44","51","89","41","16","17","17","7","0"
"Daniel Espino","CLE","SP","17.3","18","1","0","4.43","1.43","9","16","9","3","12","2","1","0"
"Mitch Bratt","ARI","SP","24.7","21","1","0","4.45","1.31","12","26","7","4","5","5","1","0"
"Ty Johnson","TB","SP,RP","24.1","25","1","0","4.28","1.28","11","22","9","4","5","5","2","0"
"Alex Vesia","LAD","RP","63.6","80","4","1","3.54","1.15","25","48","25","9","64","0","3","0"
"Gunnar Hoglund","ATH","SP","43.1","32","2","0","4.93","1.36","24","45","14","7","18","6","2","0"
"George Klassen","LAA","SP","18.5","18","1","0","4.57","1.41","9","18","8","3","11","2","1","0"
"Drew Anderson","DET","RP","96.3","102","5","0","4.20","1.30","45","85","40","13","32","14","5","0"
"Ryan Zeferjahn","LAA","RP","64.5","72","3","1","4.40","1.38","32","56","33","9","64","0","4","0"
"Dylan Lee","ATL","RP","65.9","74","3","1","3.60","1.16","26","58","19","9","65","0","3","0"
"Yariel Rodriguez","TOR","RP","39.2","39","2","0","4.06","1.32","18","34","18","5","38","0","2","0"
"Yimi Garcia","TOR","RP","58.2","64","3","5","3.78","1.19","24","49","21","7","59","0","3","0"
"Manuel Rodriguez","TB","RP","17.5","16","1","0","3.77","1.26","7","16","6","2","17","0","1","0"
"Keegan Akin","BAL","SP,RP","67.1","68","4","2","4.03","1.27","30","61","25","9","65","0","3","0"
"Ryan Yarbrough","NYY","SP,RP","65.8","53","3","0","4.32","1.26","32","64","19","10","46","2","3","0"
"Tyler Phillips","MIA","RP","70.1","51","3","2","4.38","1.38","34","73","24","8","60","0","3","0"
"Brooks Raley","NYM","RP","60.0","59","3","1","3.69","1.21","25","52","21","6","63","0","3","0"
"Connor Prielipp","MIN","SP","62.9","59","3","0","4.21","1.36","29","62","24","7","47","3","4","0"
"Michael Lorenzen","COL","SP,RP","144.2","113","6","0","5.08","1.44","81","154","53","24","26","26","9","0"
"Bobby Miller","LAD","SP","23.0","21","1","0","4.68","1.40","12","22","10","3","20","0","1","0"
"Blade Tidwell","SF","SP,RP","28.4","25","2","0","4.38","1.37","14","28","12","4","18","2","2","0"
"Mike Vasil","CWS","SP,RP","74.1","59","3","1","4.40","1.39","36","72","31","9","61","0","4","0"
"Miguel Ullola","HOU","SP,RP","19.1","21","1","0","4.29","1.39","9","16","10","2","19","0","1","0"
"Nate Pearson","HOU","RP","51.9","52","2","0","4.36","1.35","25","48","22","7","50","0","3","0"
"Matt Festa","CLE","RP","59.6","59","3","0","4.02","1.26","27","53","22","7","59","0","3","0"
"Keider Montero","DET","SP,RP","81.3","67","4","0","4.56","1.35","41","81","28","12","33","10","5","0"
"Tink Hence","STL","SP","14.6","14","1","0","4.23","1.36","7","13","6","2","4","3","1","0"
"Zach Maxwell","CIN","RP","45.6","48","2","0","4.54","1.46","23","42","25","6","44","0","2","0"
"Hunter Dobbins","STL","SP","93.3","68","4","0","4.42","1.35","46","95","31","11","28","14","5","0"
"Drew Pomeranz","LAA","SP,RP","57.5","62","3","3","3.89","1.24","25","51","20","7","60","0","3","0"
"Nestor Cortes Jr.","","SP","30.7","28","2","0","4.48","1.28","15","29","10","5","6","6","2","0"
"Walker Buehler","","SP","122.1","97","6","0","5.08","1.46","69","128","51","20","23","23","9","0"
"Porter Hodge","CHC","RP","49.4","55","3","1","4.09","1.37","22","42","26","6","47","0","3","0"
"Gavin Stone","LAD","SP","27.1","24","2","0","4.28","1.29","13","27","9","4","13","2","1","0"
"Edgardo Henriquez","LAD","RP","32.0","35","2","0","4.25","1.36","15","28","15","4","33","0","2","0"
"Jordan Montgomery","","SP","82.8","66","5","0","4.49","1.36","41","86","27","11","15","15","5","0"
"Joey Wentz","ATL","SP,RP","55.4","53","3","0","4.62","1.40","28","55","23","8","31","5","3","0"
"Graham Ashcraft","CIN","RP","65.8","59","4","2","3.92","1.31","29","64","22","6","59","0","3","0"
"Blake Treinen","LAD","RP","58.9","66","4","1","3.82","1.26","25","52","22","7","61","0","3","0"
"Chase Petty","CIN","SP","47.9","36","2","0","5.17","1.53","27","51","22","7","28","4","4","0"
"DL Hall","MIL","SP,RP","53.1","51","3","0","4.08","1.36","24","48","24","6","45","0","2","0"
"Brant Hurter","DET","SP,RP","57.1","52","3","0","3.75","1.25","24","54","18","6","48","0","3","0"
"David Robertson","","RP","40.4","46","2","1","3.80","1.28","17","35","17","5","40","0","2","0"
"Bryan King","HOU","RP","66.2","65","4","0","3.62","1.20","27","60","20","8","67","0","3","0"
"Justin Lawrence","PIT","RP","57.1","56","3","1","4.12","1.38","26","52","27","5","53","0","3","0"
"Bowden Francis","TOR","SP","38.1","36","2","0","4.37","1.24","18","35","12","7","25","3","2","0"
"Lucas Braun","ATL","SP","12.8","11","1","0","4.23","1.25","6","12","4","2","3","3","1","0"
"Luis Mey","CIN","RP","37.5","35","2","0","4.63","1.55","19","35","23","4","38","0","2","0"
"Joel Peguero","SF","RP","61.3","51","3","3","4.40","1.43","30","61","26","7","59","0","3","0"
"Lake Bachar","MIA","RP","56.5","56","3","0","4.31","1.35","27","53","24","8","53","0","3","0"
"Adbert Alzolay","NYM","RP","50.6","48","3","0","4.18","1.26","24","47","17","7","51","0","3","0"
"Emiliano Teodo","TEX","RP","15.4","15","1","0","4.33","1.43","7","14","8","2","15","0","1","0"
"Tony Gonsolin","","SP","17.3","17","1","0","4.55","1.35","9","16","8","3","4","3","1","0"
"Isaac Mattson","PIT","RP","64.4","62","3","2","4.18","1.35","30","58","29","8","60","0","3","0"
"Andrew Walters","CLE","RP","31.7","37","2","0","4.10","1.34","14","27","16","4","32","0","2","0"
"Tyler Holton","DET","SP,RP","72.1","60","4","1","3.62","1.16","29","65","18","9","67","0","3","0"
"Jared Koenig","MIL","RP","66.1","66","4","1","3.57","1.23","26","59","23","7","65","0","3","0"
"Caleb Thielbar","CHC","RP","64.6","66","4","1","3.72","1.20","27","56","21","8","67","0","3","0"
"Eduard Bazardo","SEA","RP","67.9","70","3","1","3.67","1.19","28","58","23","8","66","0","3","0"
"Chris Martin","TEX","RP","53.7","52","3","4","3.42","1.15","20","50","11","6","53","0","3","0"
"Steven Okert","HOU","RP","64.3","73","3","0","3.88","1.19","28","54","23","9","66","0","3","0"
"Taylor Rogers","MIN","RP","59.7","62","3","11","4.13","1.34","27","55","25","8","60","0","3","0"
"Jakob Junis","TEX","RP","65.2","56","3","2","3.98","1.22","29","63","17","8","58","0","3","0"
"Ryan Thompson","ARI","RP","62.9","52","4","3","3.88","1.30","27","63","19","6","61","0","3","0"
"Logan Allen","CLE","SP","121.4","98","6","0","4.54","1.40","61","124","47","17","27","22","8","0"
"Angel Zerpa","MIL","RP","60.8","56","3","0","3.59","1.26","24","57","20","6","60","0","3","0"
"Chris Paddack","","SP,RP","113.7","86","6","0","4.79","1.32","60","121","29","19","21","21","7","0"
"Bennett Sousa","HOU","RP","49.6","55","3","0","3.61","1.19","20","42","17","6","48","0","2","0"
"Justin Slaten","BOS","RP","60.4","56","4","0","3.97","1.26","27","56","20","7","57","0","3","0"
"Aaron Bummer","ATL","RP","60.6","62","3","0","3.68","1.30","25","57","22","5","58","0","3","0"
"Brusdar Graterol","LAD","RP","50.6","42","3","0","3.42","1.20","19","46","14","4","52","0","2","0"
"Andrew Nardi","MIA","RP","49.5","60","3","0","3.74","1.23","21","42","19","6","51","0","2","0"
"Tanner Banks","PHI","RP","63.1","59","3","0","3.96","1.24","28","60","18","8","61","0","3","0"
"Kody Funderburk","MIN","RP","63.6","60","3","4","3.89","1.35","27","60","26","6","61","0","3","0"
"Erik Miller","SF","RP","59.6","64","3","1","3.65","1.36","24","50","31","5","60","0","3","0"
"Greg Weissert","BOS","RP","65.4","58","4","1","4.14","1.31","30","63","23","8","65","0","3","0"
"Erik Sabrowski","CLE","RP","60.3","73","3","1","3.91","1.36","26","48","34","7","59","0","3","0"
"Anthony Bender","MIA","RP","61.7","58","3","1","3.91","1.30","27","57","24","6","63","0","3","0"
"Hoby Milner","CHC","RP","62.3","53","3","0","3.87","1.27","27","61","18","7","62","0","3","0"
"Julian Fernandez","WSH","RP","56.9","56","3","2","4.02","1.28","25","52","21","7","55","0","3","0"
"Tommy Nance","TOR","RP","56.7","54","3","0","3.89","1.26","25","54","18","6","55","0","3","0"
"Brendon Little","TOR","RP","54.5","60","3","0","3.58","1.36","22","45","29","4","56","0","3","0"
"Braydon Fisher","TOR","RP","51.6","59","3","0","3.84","1.29","22","43","23","6","51","0","2","0"
"John Schreiber","KC","RP","64.1","59","3","1","4.06","1.30","29","60","23","8","67","0","3","0"
"Andrew Alvarez","WSH","SP","111.4","80","5","0","4.44","1.40","55","113","43","13","40","16","6","0"
"Jimmy Herget","COL","RP","81.6","74","3","3","4.45","1.33","40","82","27","12","70","2","4","0"
"David Morgan","SD","RP","62.7","64","3","0","4.07","1.31","28","56","26","8","59","0","3","0"
"Mason Englert","TB","RP","61.0","57","3","0","4.13","1.26","28","59","18","8","54","0","3","0"
"Jose Butto","SF","SP,RP","63.9","58","3","2","4.03","1.33","29","59","26","7","57","0","3","0"
"Justin Wilson","","RP","48.2","51","3","0","3.73","1.27","20","43","18","5","49","0","2","0"
"Yoendrys Gomez","TB","SP,RP","75.4","73","4","0","4.47","1.34","37","70","31","11","38","8","4","0"
"Pierce Johnson","CIN","RP","61.4","67","3","1","4.19","1.32","29","57","24","9","61","0","3","0"
"Yennier Cano","BAL","RP","51.7","48","3","1","3.78","1.30","22","49","18","5","53","0","3","0"
"Colin Selby","BAL","RP","56.7","59","3","0","3.96","1.32","25","51","24","7","53","0","3","0"
"Tyler Alexander","TEX","SP,RP","74.8","62","4","0","4.57","1.29","38","76","20","12","53","3","4","0"
"Brock Burke","CIN","RP","63.4","57","3","1","4.15","1.31","29","62","21","8","63","0","3","0"
"Wandy Peralta","SD","RP","61.0","52","3","0","3.81","1.34","26","57","25","6","61","0","3","0"
"PJ Poulin","WSH","RP","59.0","58","3","2","4.05","1.35","27","55","25","7","59","0","3","0"
"Jake Bird","NYY","RP","54.2","56","3","0","3.96","1.31","24","48","23","6","52","0","2","0"
"Elvis Alvarado","ATH","RP","59.8","63","3","4","4.25","1.38","28","53","30","8","58","0","3","0"
"Alex Cobb","","SP","59.6","49","4","0","4.10","1.34","27","60","20","6","11","11","3","0"
"Tim Herrin","CLE","RP","52.9","54","3","0","3.84","1.34","23","46","25","5","54","0","3","0"
"Sam Hentges","SF","RP","49.8","49","2","0","3.60","1.27","20","46","17","4","52","0","2","0"
"Charlie Morton","","SP,RP","89.8","89","5","0","4.67","1.43","47","87","41","13","17","17","6","0"
"Brandon Eisert","CWS","SP,RP","61.9","60","3","1","4.21","1.33","29","60","22","8","62","0","4","0"
"Mitchell Parker","WSH","SP","94.1","71","5","0","4.67","1.37","49","97","32","13","40","11","6","0"
"Jonathan Loaisiga","ARI","RP","52.2","43","3","2","3.90","1.31","23","52","16","6","50","0","2","0"
"Jonathan Bowlan","PHI","RP","56.1","53","3","0","4.11","1.29","26","53","19","8","50","0","3","0"
"Spencer Bivens","SF","RP","70.4","53","3","2","4.16","1.34","33","72","23","8","62","0","4","0"
"Grant Anderson","MIL","RP","58.0","58","3","0","4.17","1.31","27","54","23","8","55","0","3","0"
"Nick Mears","KC","RP","60.8","58","3","0","4.20","1.31","28","56","23","7","61","0","3","0"
"Josh White","MIA","RP","47.6","51","3","0","3.92","1.30","21","42","20","6","45","0","2","0"
"A.J. Puk","ARI","RP","32.3","38","2","3","3.49","1.17","13","27","11","4","32","0","1","0"
"Brenan Hanifee","DET","RP","59.1","44","3","0","3.94","1.30","26","60","17","6","55","0","3","0"
"Caleb Ferguson","CIN","RP","57.4","54","3","0","4.07","1.33","26","54","22","6","59","0","3","0"
"Ryan Fernandez","STL","RP","56.8","58","3","0","4.13","1.34","26","51","25","6","55","0","3","0"
"Jovani Moran","BOS","RP","47.1","51","3","0","3.90","1.33","20","42","20","5","46","0","2","0"
"Huascar Brazoban","NYM","SP,RP","57.1","54","3","0","4.05","1.34","26","51","25","6","53","0","3","0"
"Scott Barlow","","RP","59.7","64","3","0","4.17","1.37","28","51","31","7","61","0","3","0"
"Enyel De Los Santos","HOU","RP","61.3","59","3","0","4.34","1.31","30","57","23","9","61","0","3","0"
"Brady Basso","ATH","RP","53.3","47","3","1","4.13","1.30","24","52","17","7","47","0","2","0"
"Eric Orze","MIN","RP","58.7","59","3","1","4.19","1.36","27","54","26","7","56","0","3","0"
"Tim Hill","NYY","RP","66.9","38","4","0","4.05","1.35","30","71","19","7","65","0","3","0"
"Paul Sewald","","RP","48.9","49","3","1","4.42","1.24","24","44","16","8","49","0","3","0"
"Jacob Webb","CHC","RP","54.2","51","3","0","4.21","1.29","25","48","21","7","52","0","3","0"
"Dietrich Enns","BAL","SP,RP","59.6","55","3","0","4.19","1.33","28","59","20","8","51","0","3","0"
