"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Tyler Rogers","TOR","RP","72.4","50","2","1","21","3.67","1.22","29","72","16","7","73","4","3"
"Jeremiah Estrada","SD","RP","70.6","96","2","1","20","3.39","1.16","27","54","28","9","70","4","3"
"Alex Vesia","LAD","RP","63.6","80","1","1","20","3.54","1.15","25","48","25","9","64","4","3"
"Bryan Abreu","HOU","RP","68.9","91","4","1","19","3.18","1.18","24","52","29","7","68","4","3"
"Garrett Whitlock","BOS","RP","69.2","77","3","1","19","3.36","1.15","26","60","20","7","64","4","3"
"Bryan King","HOU","RP","66.2","65","0","1","19","3.62","1.20","27","60","20","8","67","4","3"
"Hunter Gaddis","CLE","RP","68.0","65","3","1","19","3.84","1.21","29","61","21","9","65","3","3"
"A.J. Minter","NYM","RP","55.9","63","2","0","18","3.41","1.17","21","46","19","6","53","4","3"
"Jared Koenig","MIL","RP","66.1","66","1","1","18","3.57","1.23","26","59","23","7","65","4","3"
"Brad Keller","PHI","RP","67.5","62","2","1","18","4.02","1.33","30","63","27","8","63","4","4"
"Jose A. Ferrer","SEA","RP","69.3","65","3","1","17","3.22","1.17","25","61","20","5","67","4","3"
"Matt Brash","SEA","RP","62.1","74","3","1","17","3.19","1.21","22","51","24","5","63","3","3"
"Dylan Lee","ATL","RP","65.9","74","1","1","17","3.60","1.16","26","58","19","9","65","3","3"
"Fernando Cruz","NYY","RP","60.9","82","1","1","17","3.70","1.23","25","47","28","7","60","4","3"
"Caleb Thielbar","CHC","RP","64.6","66","1","1","17","3.72","1.20","27","56","21","8","67","4","3"
"Graham Ashcraft","CIN","RP","65.8","59","2","1","17","3.92","1.31","29","64","22","6","59","4","3"
"Tony Santillan","CIN","RP","69.9","73","4","2","17","4.20","1.33","33","62","31","9","71","3","3"
"Adrian Morejon","SD","RP","69.0","69","3","1","16","3.35","1.18","26","60","22","6","69","5","4"
"Tanner Scott","LAD","RP","64.7","73","4","1","16","3.52","1.22","25","54","25","7","63","4","3"
"Andrew Kittredge","BAL","RP","67.2","67","5","1","16","3.69","1.19","28","62","18","9","66","4","3"
"Phil Maton","CHC","RP","65.4","72","5","1","16","3.67","1.21","27","54","25","7","65","4","3"
"Luke Weaver","NYM","RP","68.5","73","5","1","16","3.93","1.20","30","60","22","10","62","4","3"
"Shawn Armstrong","CLE","RP","69.4","69","3","1","16","3.78","1.20","29","62","22","8","68","3","3"
"Lucas Erceg","KC","RP","63.6","60","3","1","16","3.71","1.28","26","58","24","6","61","4","4"
"Keegan Akin","BAL","SP,RP","67.1","68","2","1","16","4.03","1.27","30","61","25","9","65","4","3"
"Greg Weissert","BOS","RP","65.4","58","1","1","16","4.14","1.31","30","63","23","8","65","4","3"
"John Schreiber","KC","RP","64.1","59","1","1","16","4.06","1.30","29","60","23","8","67","3","3"
"Edwin Uceta","TB","RP","72.0","86","13","1","15","3.78","1.20","30","60","27","10","68","4","4"
"Garrett Cleavinger","TB","RP","65.2","80","7","1","15","3.45","1.18","25","52","25","8","67","4","3"
"Will Vest","DET","RP","68.1","69","7","1","15","3.38","1.20","26","60","21","6","66","4","3"
"Matt Strahm","KC","RP","66.1","72","1","1","15","3.51","1.13","26","55","19","8","64","4","3"
"JoJo Romero","STL","RP","64.2","60","12","2","15","3.60","1.29","26","58","25","6","64","4","3"
"Tyler Holton","DET","SP,RP","72.1","60","1","1","15","3.62","1.16","29","65","18","9","67","4","3"
"Gabe Speier","SEA","RP","58.6","69","0","1","15","3.31","1.11","22","48","17","7","62","3","3"
"Orion Kerkering","PHI","RP","63.8","69","1","1","15","3.45","1.21","24","55","22","6","63","4","3"
"Camilo Doval","NYY","RP","64.8","74","4","1","15","3.64","1.29","26","53","31","6","64","4","3"
"Blake Treinen","LAD","RP","58.9","66","1","1","15","3.82","1.26","25","52","22","7","61","4","3"
"Brooks Raley","NYM","RP","60.0","59","1","0","15","3.69","1.21","25","52","21","6","63","3","3"
"Gregory Soto","PIT","RP","62.0","66","3","1","15","3.83","1.30","26","56","25","5","64","3","3"
"Ryan Thompson","ARI","RP","62.9","52","3","1","15","3.88","1.30","27","63","19","6","61","4","3"
"Erik Sabrowski","CLE","RP","60.3","73","1","0","15","3.91","1.36","26","48","34","7","59","3","3"
"Anthony Bender","MIA","RP","61.7","58","1","1","15","3.91","1.30","27","57","24","6","63","3","3"
"Robert Suarez","ATL","RP","67.5","70","9","2","14","3.57","1.17","27","59","20","8","66","4","3"
"Louis Varland","TOR","RP","67.8","67","2","0","14","3.66","1.21","28","63","19","8","63","4","3"
"Kyle Finnegan","DET","RP","64.1","60","4","1","14","3.82","1.27","27","59","23","7","63","4","3"
"Bryan Baker","TB","RP","65.2","73","2","1","14","3.94","1.22","29","56","24","9","64","3","3"
"Kody Funderburk","MIN","RP","63.6","60","4","1","14","3.89","1.35","27","60","26","6","61","3","3"
"Erik Miller","SF","RP","59.6","64","1","1","14","3.65","1.36","24","50","31","5","60","3","3"
"Isaac Mattson","PIT","RP","64.4","62","2","1","14","4.18","1.35","30","58","29","8","60","3","3"
"Tim Hill","NYY","RP","66.9","38","0","1","14","4.05","1.35","30","71","19","7","65","4","3"
"Ryan Zeferjahn","LAA","RP","64.5","72","1","1","14","4.40","1.38","32","56","33","9","64","3","4"
"Tyler Phillips","MIA","RP","70.1","51","2","0","14","4.38","1.38","34","73","24","8","60","3","3"
"Jose Alvarado","PHI","RP","60.1","68","3","0","13","3.52","1.24","24","51","24","6","58","4","3"
"Eduard Bazardo","SEA","RP","67.9","70","1","0","13","3.67","1.19","28","58","23","8","66","3","3"
"Cole Sands","MIN","SP,RP","68.6","67","3","1","13","3.97","1.23","30","64","21","8","66","4","4"
"Yimi Garcia","TOR","RP","58.2","64","5","2","13","3.78","1.19","24","49","21","7","59","3","3"
"Steven Okert","HOU","RP","64.3","73","0","1","13","3.88","1.19","28","54","23","9","66","3","3"
"Mark Leiter Jr.","ATH","RP","64.6","69","6","1","13","4.18","1.33","30","61","25","8","65","4","4"
"Kevin Ginkel","ARI","RP","62.5","64","5","1","13","3.90","1.30","27","57","24","6","60","3","3"
"Tyler Kinley","ATL","RP","63.7","69","0","1","13","4.11","1.29","29","55","27","8","65","3","3"
"Hoby Milner","CHC","RP","62.3","53","0","1","13","3.87","1.27","27","61","18","7","62","3","3"
"Brendon Little","TOR","RP","54.5","60","0","1","13","3.58","1.36","22","45","29","4","56","3","3"
"Jimmy Herget","COL","RP","81.6","74","3","1","13","4.45","1.33","40","82","27","12","70","3","4"
"Hogan Harris","ATH","RP","67.2","65","9","1","13","4.37","1.40","33","62","32","8","58","3","3"
"Jose Butto","SF","SP,RP","63.9","58","2","1","13","4.03","1.33","29","59","26","7","57","3","3"
"Pierce Johnson","CIN","RP","61.4","67","1","1","13","4.19","1.32","29","57","24","9","61","3","3"
"Brock Burke","CIN","RP","63.4","57","1","1","13","4.15","1.31","29","62","21","8","63","3","3"
"Nick Mears","KC","RP","60.8","58","0","1","13","4.20","1.31","28","56","23","7","61","3","3"
"Juan Mejia","COL","RP","65.6","68","2","1","13","4.54","1.42","33","62","30","8","65","3","4"
"Kade Strowd","BAL","RP","57.3","54","0","1","13","4.24","1.40","27","54","26","7","57","3","3"
"Joel Peguero","SF","RP","61.3","51","3","0","13","4.40","1.43","30","61","26","7","59","3","3"
"Griffin Jax","TB","RP","68.6","86","15","2","12","3.09","1.10","24","56","19","7","68","4","3"
"Grant Taylor","CWS","RP","77.0","91","5","0","12","3.36","1.20","29","63","29","6","70","4","4"
"Hunter Harvey","CHC","RP","51.1","55","4","0","12","3.41","1.14","19","44","15","5","50","3","2"
"Matt Svanson","STL","RP","66.1","62","4","0","12","3.70","1.29","27","60","25","6","61","3","3"
"Justin Sterner","ATH","RP","66.8","68","7","1","12","4.25","1.27","32","60","24","10","63","3","3"
"Drew Pomeranz","LAA","SP,RP","57.5","62","3","1","12","3.89","1.24","25","51","20","7","60","3","3"
"Angel Zerpa","MIL","RP","60.8","56","0","1","12","3.59","1.26","24","57","20","6","60","3","3"
"Justin Slaten","BOS","RP","60.4","56","0","1","12","3.97","1.26","27","56","20","7","57","4","3"
"Justin Topa","MIN","RP","63.9","53","8","1","12","4.05","1.33","29","65","20","6","63","3","3"
"Aaron Ashby","MIL","RP","66.6","69","0","0","12","3.70","1.36","27","59","32","5","57","3","3"
"Calvin Faucher","MIA","RP","65.9","65","5","1","12","4.05","1.36","30","62","28","7","65","3","4"
"Matt Festa","CLE","RP","59.6","59","0","0","12","4.02","1.26","27","53","22","7","59","3","3"
"Mason Montgomery","PIT","RP","61.6","66","1","1","12","4.10","1.34","28","57","26","7","59","3","3"
"PJ Poulin","WSH","RP","59.0","58","2","1","12","4.05","1.35","27","55","25","7","59","3","3"
"Luis Garcia","NYM","RP","57.2","51","0","1","12","4.02","1.35","26","55","22","6","57","3","3"
"Justin Lawrence","PIT","RP","57.1","56","1","1","12","4.12","1.38","26","52","27","5","53","3","3"
"Anthony Banda","LAD","RP","57.6","55","0","0","12","4.32","1.36","28","53","25","8","57","3","2"
"Abner Uribe","MIL","RP","71.8","85","18","1","11","3.07","1.20","24","55","31","5","72","4","3"
"Riley O'Brien","STL","RP","63.7","65","16","1","11","3.66","1.31","26","55","28","5","62","3","3"
"Clayton Beeter","WSH","RP","63.4","74","13","1","11","3.84","1.34","27","51","34","6","58","3","3"
"Chris Martin","TEX","RP","53.7","52","4","1","11","3.42","1.15","20","50","11","6","53","3","3"
"Jordan Leasure","CWS","RP","65.6","73","9","2","11","4.19","1.30","31","56","29","10","66","3","4"
"Jason Adam","SD","RP","50.3","54","0","1","11","3.46","1.17","19","41","18","5","50","3","2"
"Jakob Junis","TEX","RP","65.2","56","2","0","11","3.98","1.22","29","63","17","8","58","3","3"
"Tanner Banks","PHI","RP","63.1","59","0","1","11","3.96","1.24","28","60","18","8","61","3","3"
"Jordan Romano","LAA","RP","56.9","61","4","1","11","4.38","1.30","28","52","22","9","58","3","3"
"Tim Herrin","CLE","RP","52.9","54","0","1","11","3.84","1.34","23","46","25","5","54","3","3"
"Brenan Hanifee","DET","RP","59.1","44","0","0","11","3.94","1.30","26","60","17","6","55","3","3"
"Caleb Ferguson","CIN","RP","57.4","54","0","1","11","4.07","1.33","26","54","22","6","59","3","3"
"Huascar Brazoban","NYM","SP,RP","57.1","54","0","1","11","4.05","1.34","26","51","25","6","53","3","3"
"Cole Winn","TEX","RP","63.4","54","4","0","11","4.30","1.37","30","58","29","8","57","3","3"
"Ryne Stanek","STL","RP","58.9","59","2","1","11","4.30","1.37","28","53","27","8","61","3","3"
"Mike Vasil","CWS","SP,RP","74.1","59","1","1","11","4.40","1.39","36","72","31","9","61","3","4"
"Michael Kelly","ATH","RP","60.3","51","3","1","11","4.57","1.41","31","59","26","8","58","3","3"
"Seth Halvorsen","COL","RP","60.5","55","6","1","11","4.65","1.47","31","61","28","8","58","3","4"
"Robert Stephenson","LAA","RP","57.8","65","11","1","10","4.00","1.20","26","50","19","9","55","3","3"
"Kirby Yates","LAA","RP","56.5","67","9","1","10","3.99","1.28","25","46","26","8","55","3","3"
"Andrew Saalfrank","ARI","RP","61.4","53","13","1","10","4.02","1.41","27","58","29","6","58","3","3"
"Aaron Bummer","ATL","RP","60.6","62","0","0","10","3.68","1.30","25","57","22","5","58","3","3"
"Julian Fernandez","WSH","RP","56.9","56","2","0","10","4.02","1.28","25","52","21","7","55","3","3"
"Tommy Nance","TOR","RP","56.7","54","0","0","10","3.89","1.26","25","54","18","6","55","3","3"
"David Morgan","SD","RP","62.7","64","0","0","10","4.07","1.31","28","56","26","8","59","3","3"
"Wandy Peralta","SD","RP","61.0","52","0","0","10","3.81","1.34","26","57","25","6","61","3","3"
"Jake Bird","NYY","RP","54.2","56","0","1","10","3.96","1.31","24","48","23","6","52","3","2"
"Brandon Eisert","CWS","SP,RP","61.9","60","1","1","10","4.21","1.33","29","60","22","8","62","3","4"
"Spencer Bivens","SF","RP","70.4","53","2","0","10","4.16","1.34","33","72","23","8","62","3","4"
"Ryan Fernandez","STL","RP","56.8","58","0","0","10","4.13","1.34","26","51","25","6","55","3","3"
"Enyel De Los Santos","HOU","RP","61.3","59","0","1","10","4.34","1.31","30","57","23","9","61","3","3"
"Jacob Webb","CHC","RP","54.2","51","0","0","10","4.21","1.29","25","48","21","7","52","3","3"
"Dietrich Enns","BAL","SP,RP","59.6","55","0","0","10","4.19","1.33","28","59","20","8","51","3","3"
"Taylor Clarke","ARI","RP","61.1","50","1","0","10","4.38","1.30","30","62","17","9","56","3","3"
"Carlos Vargas","SEA","RP","56.6","43","0","1","10","4.06","1.33","26","56","20","6","56","3","3"
"Cole Henry","WSH","RP","64.1","60","11","1","10","4.75","1.44","34","59","34","9","67","2","3"
"Cade Gibson","MIA","RP","61.5","48","0","1","10","4.16","1.39","28","61","24","6","56","3","3"
"Brusdar Graterol","LAD","RP","50.6","42","0","0","9","3.42","1.20","19","46","14","4","52","3","2"
"Mason Englert","TB","RP","61.0","57","0","0","9","4.13","1.26","28","59","18","8","54","3","3"
"Colin Selby","BAL","RP","56.7","59","0","0","9","3.96","1.32","25","51","24","7","53","3","3"
"Tyler Alexander","TEX","SP,RP","74.8","62","0","0","9","4.57","1.29","38","76","20","12","53","4","4"
"Jonathan Loaisiga","ARI","RP","52.2","43","2","1","9","3.90","1.31","23","52","16","6","50","3","2"
"Grant Anderson","MIL","RP","58.0","58","0","1","9","4.17","1.31","27","54","23","8","55","3","3"
"Eric Orze","MIN","RP","58.7","59","1","0","9","4.19","1.36","27","54","26","7","56","3","3"
"Paul Blackburn","NYY","SP,RP","67.3","55","0","0","9","4.40","1.32","33","68","21","9","46","3","4"
"Daniel Lynch","KC","RP","59.9","45","0","0","9","4.28","1.34","28","60","20","8","54","3","3"
"Alexis Diaz","TEX","RP","57.5","57","2","0","9","4.65","1.37","30","49","30","8","55","3","3"
"Jordan Hicks","BOS","SP,RP","59.5","54","0","0","9","4.25","1.42","28","58","26","6","55","3","3"
"Rico Garcia","BAL","RP","50.5","52","0","0","9","4.37","1.36","25","47","22","8","48","2","2"
"Konnor Pilkington","WSH","RP","52.9","51","1","0","9","4.41","1.44","26","48","28","7","52","2","3"
"Trevor Megill","MIL","RP","65.0","80","17","2","8","3.45","1.18","25","53","23","7","62","4","3"
"Robert Garcia","TEX","RP","64.1","69","19","2","8","3.64","1.23","26","56","23","7","65","4","3"
"Brant Hurter","DET","SP,RP","57.1","52","0","0","8","3.75","1.25","24","54","18","6","48","3","3"
"Yennier Cano","BAL","RP","51.7","48","1","1","8","3.78","1.30","22","49","18","5","53","3","3"
"Elvis Alvarado","ATH","RP","59.8","63","4","0","8","4.25","1.38","28","53","30","8","58","3","3"
"Jonathan Bowlan","PHI","RP","56.1","53","0","0","8","4.11","1.29","26","53","19","8","50","3","3"
"Brady Basso","ATH","RP","53.3","47","1","0","8","4.13","1.30","24","52","17","7","47","3","2"
"Joel Payamps","ATL","RP","51.3","48","0","0","8","4.20","1.29","24","50","16","7","52","3","2"
"Yuki Matsui","SD","RP","54.8","55","0","0","8","4.22","1.34","26","49","25","7","53","3","2"
"Cole Sulser","TB","RP","51.4","46","0","0","8","4.10","1.31","23","49","18","7","48","3","3"
"Lake Bachar","MIA","RP","56.5","56","0","0","8","4.31","1.35","27","53","24","8","53","3","3"
"Ben Casparius","LAD","SP,RP","53.9","51","0","0","8","4.45","1.33","27","51","21","8","47","3","3"
"Zack Kelly","BOS","SP,RP","54.4","53","0","0","8","4.33","1.39","26","50","25","7","51","3","3"
"Gordon Graceffo","STL","RP","59.7","48","0","0","8","4.37","1.36","29","62","20","7","51","3","3"
"Matt Gage","SF","RP","53.3","46","0","0","8","4.04","1.35","24","53","19","5","52","2","2"
"Nate Pearson","HOU","RP","51.9","52","0","0","8","4.36","1.35","25","48","22","7","50","2","3"
"Kyle Nicolas","PIT","RP","54.1","54","0","0","8","4.26","1.41","26","50","26","6","51","2","3"
"Travis Adams","MIN","SP,RP","60.6","48","0","0","8","4.60","1.38","31","63","21","8","47","3","3"
"Brennan Bernardino","COL","SP,RP","56.6","51","1","0","8","4.49","1.45","28","57","25","6","58","3","3"
"RJ Petit","COL","RP","53.3","47","0","0","8","4.70","1.43","28","56","21","7","52","3","4"
"Jackson Rutledge","WSH","SP,RP","57.1","49","0","0","8","4.71","1.40","30","57","23","8","51","2","3"
"Seranthony Dominguez","CWS","RP","63.0","71","14","1","7","3.92","1.30","27","53","29","8","64","3","4"
"Taylor Rogers","MIN","RP","59.7","62","11","0","7","4.13","1.34","27","55","25","8","60","3","3"
"Victor Vodnik","COL","RP","64.5","61","18","1","7","4.28","1.46","31","63","31","7","62","3","4"
"Andrew Nardi","MIA","RP","49.5","60","0","1","7","3.74","1.23","21","42","19","6","51","3","2"
"Porter Hodge","CHC","RP","49.4","55","1","1","7","4.09","1.37","22","42","26","6","47","3","3"
"Drey Jameson","ARI","RP","50.8","46","1","0","7","4.21","1.37","24","49","20","6","48","3","3"
"Chase Silseth","LAA","RP","57.4","56","0","0","7","4.30","1.39","27","52","27","7","50","3","3"
"Tyler Ferguson","ATH","RP","52.7","52","1","1","7","4.37","1.38","26","47","26","6","51","3","3"
"Steven Wilson","TB","RP","52.3","51","0","1","7","4.71","1.36","27","48","23","9","52","2","3"
"Wikelman Gonzalez","CWS","SP,RP","54.8","53","0","0","7","4.74","1.49","29","49","33","7","49","2","3"
"Sam Hentges","SF","RP","49.8","49","0","0","6","3.60","1.27","20","46","17","4","52","2","2"
"DL Hall","MIL","SP,RP","53.1","51","0","0","6","4.08","1.36","24","48","24","6","45","3","2"
"Ian Hamilton","ATL","RP","49.4","51","0","0","6","3.95","1.35","22","45","22","5","47","2","2"
"Matt Pushard","STL","RP","51.3","45","0","0","6","4.30","1.35","25","50","19","7","50","3","3"
"Connor Phillips","CIN","RP","54.0","57","1","0","6","4.57","1.40","27","48","28","8","50","3","3"
"Evan Sisk","PIT","RP","47.2","45","0","0","6","3.91","1.37","21","44","21","4","47","2","2"
"Jose Fermin","LAA","RP","50.0","53","0","0","6","4.49","1.38","25","44","25","7","51","3","3"
"John Klein","MIN","SP,RP","49.9","43","0","0","6","4.62","1.36","26","50","18","7","45","3","3"
"Tyler Gilbert","CWS","SP,RP","51.3","46","0","0","6","4.43","1.35","25","50","19","7","49","2","3"
"Roddery Munoz","HOU","RP","49.1","49","0","0","6","4.60","1.40","25","45","23","7","43","2","3"
"Juan Morillo","ARI","RP","48.7","45","0","0","6","4.26","1.48","23","47","25","5","50","2","2"
"Carter Baumler","TEX","SP,RP","49.6","43","0","0","6","4.59","1.41","25","48","22","6","47","2","3"
"Zach Pop","PHI","RP","46.6","36","0","0","6","4.52","1.39","23","48","17","6","46","2","3"
"Ryan Walker","SF","RP","64.2","68","27","1","5","3.41","1.19","24","56","20","6","63","4","3"
"Daniel Palencia","CHC","RP","66.7","76","28","2","5","3.70","1.25","27","55","28","7","64","4","3"
"Dennis Santana","PIT","RP","69.2","64","24","1","5","3.95","1.26","30","63","24","7","68","4","3"
"Bennett Sousa","HOU","RP","49.6","55","0","0","5","3.61","1.19","20","42","17","6","48","3","2"
"Braydon Fisher","TOR","RP","51.6","59","0","0","5","3.84","1.29","22","43","23","6","51","3","2"
"Ryan Yarbrough","NYY","SP,RP","65.8","53","0","0","5","4.32","1.26","32","64","19","10","46","3","3"
"Adbert Alzolay","NYM","RP","50.6","48","0","2","5","4.18","1.26","24","47","17","7","51","3","3"
"Jovani Moran","BOS","RP","47.1","51","0","0","5","3.90","1.33","20","42","20","5","46","3","2"
"Ben Joyce","LAA","RP","35.9","41","4","2","5","3.68","1.27","15","29","16","4","35","2","2"
"David Robertson","","RP","40.4","46","1","1","5","3.80","1.28","17","35","17","5","40","2","2"
"Casey Legumina","SEA","RP","49.3","48","0","0","5","4.18","1.32","23","45","19","6","48","3","3"
"Shelby Miller","","RP","26.5","28","4","2","5","3.56","1.17","11","22","10","3","24","2","2"
"Austin Warren","NYM","RP","45.5","42","0","0","5","4.26","1.31","22","43","17","6","41","3","3"
"Tommy Kahnle","","RP","59.1","53","1","1","5","4.34","1.40","29","55","28","7","61","3","3"
"Alex Lange","KC","RP","47.1","49","0","0","5","4.11","1.41","22","41","25","4","49","3","3"
"Justin Bruihl","STL","RP","45.6","41","0","0","5","4.01","1.34","20","44","17","5","45","2","2"
"Connor Brogdon","CLE","RP","51.8","52","0","0","5","4.51","1.35","26","49","21","8","49","2","3"
"Jaden Hill","COL","RP","50.8","50","0","0","5","4.46","1.37","25","50","19","6","50","2","3"
"Brandyn Garcia","ARI","RP","44.4","40","0","0","5","4.18","1.43","21","43","20","4","42","2","2"
"Michael Kopech","","RP","42.4","46","0","1","5","4.49","1.41","21","35","25","6","42","2","2"
"Bailey Horn","DET","RP","46.9","43","0","0","5","4.35","1.42","23","44","22","6","45","2","3"
"Beau Brieske","DET","RP","46.1","40","0","0","5","4.54","1.38","23","44","20","6","45","2","3"
